vt_1_x,vt_1_y,vt_1_z,vt_2_x,vt_2_y,vt_2_z,vt_3_x,vt_3_y,vt_3_z,vt_4_x,vt_4_y,vt_4_z
0.75,2.4,0.0,0.95,2.4,0.0,0.95,2.6,0.0,0.75,2.6,0.0
0.75,2.6,0.0,0.95,2.6,0.0,0.95,2.8,0.0,0.75,2.8,0.0
0.75,2.8,0.0,0.95,2.8,0.0,0.95,3.0,0.0,0.75,3.0,0.0
0.75,3.0,0.0,0.95,3.0,0.0,0.95,3.2,0.0,0.75,3.2,0.0
0.75,3.2,0.0,0.95,3.2,0.0,0.95,3.4,0.0,0.75,3.4,0.0
0.75,3.4,0.0,0.95,3.4,0.0,0.95,3.6,0.0,0.75,3.6,0.0
0.75,3.6,0.0,0.95,3.6,0.0,0.95,3.8,0.0,0.75,3.8,0.0
0.75,3.8,0.0,0.95,3.8,0.0,0.95,4.0,0.0,0.75,4.0,0.0
0.75,4.0,0.0,0.95,4.0,0.0,0.95,4.2,0.0,0.75,4.2,0.0
0.75,4.2,0.0,0.95,4.2,0.0,0.95,4.4,0.0,0.75,4.4,0.0
0.75,4.4,0.0,0.95,4.4,0.0,0.95,4.6,0.0,0.75,4.6,0.0
0.75,4.6,0.0,0.95,4.6,0.0,0.95,4.8,0.0,0.75,4.8,0.0
0.75,4.8,0.0,0.95,4.8,0.0,0.95,5.0,0.0,0.75,5.0,0.0
0.75,5.0,0.0,0.95,5.0,0.0,0.95,5.2,0.0,0.75,5.2,0.0
0.75,5.2,0.0,0.95,5.2,0.0,0.95,5.4,0.0,0.75,5.4,0.0
0.75,5.4,0.0,0.95,5.4,0.0,0.95,5.6,0.0,0.75,5.6,0.0
0.75,5.6,0.0,0.95,5.6,0.0,0.95,5.8,0.0,0.75,5.8,0.0
0.75,5.8,0.0,0.95,5.8,0.0,0.95,6.0,0.0,0.75,6.0,0.0
0.95,0.0,0.0,1.15,0.0,0.0,1.15,0.2,0.0,0.95,0.2,0.0
0.95,0.2,0.0,1.15,0.2,0.0,1.15,0.4,0.0,0.95,0.4,0.0
0.95,0.4,0.0,1.15,0.4,0.0,1.15,0.6,0.0,0.95,0.6,0.0
0.95,0.6,0.0,1.15,0.6,0.0,1.15,0.8,0.0,0.95,0.8,0.0
0.95,0.8,0.0,1.15,0.8,0.0,1.15,1.0,0.0,0.95,1.0,0.0
0.95,1.0,0.0,1.15,1.0,0.0,1.15,1.2,0.0,0.95,1.2,0.0
0.95,1.2,0.0,1.15,1.2,0.0,1.15,1.4,0.0,0.95,1.4,0.0
0.95,1.4,0.0,1.15,1.4,0.0,1.15,1.6,0.0,0.95,1.6,0.0
0.95,1.6,0.0,1.15,1.6,0.0,1.15,1.8,0.0,0.95,1.8,0.0
0.95,1.8,0.0,1.15,1.8,0.0,1.15,2.0,0.0,0.95,2.0,0.0
0.95,2.0,0.0,1.15,2.0,0.0,1.15,2.2,0.0,0.95,2.2,0.0
0.95,2.2,0.0,1.15,2.2,0.0,1.15,2.4,0.0,0.95,2.4,0.0
0.95,2.4,0.0,1.15,2.4,0.0,1.15,2.6,0.0,0.95,2.6,0.0
0.95,2.6,0.0,1.15,2.6,0.0,1.15,2.8,0.0,0.95,2.8,0.0
0.95,2.8,0.0,1.15,2.8,0.0,1.15,3.0,0.0,0.95,3.0,0.0
0.95,3.0,0.0,1.15,3.0,0.0,1.15,3.2,0.0,0.95,3.2,0.0
0.95,3.2,0.0,1.15,3.2,0.0,1.15,3.4,0.0,0.95,3.4,0.0
0.95,3.4,0.0,1.15,3.4,0.0,1.15,3.6,0.0,0.95,3.6,0.0
0.95,3.6,0.0,1.15,3.6,0.0,1.15,3.8,0.0,0.95,3.8,0.0
0.95,3.8,0.0,1.15,3.8,0.0,1.15,4.0,0.0,0.95,4.0,0.0
0.95,4.0,0.0,1.15,4.0,0.0,1.15,4.2,0.0,0.95,4.2,0.0
0.95,4.2,0.0,1.15,4.2,0.0,1.15,4.4,0.0,0.95,4.4,0.0
0.95,4.4,0.0,1.15,4.4,0.0,1.15,4.6,0.0,0.95,4.6,0.0
0.95,4.6,0.0,1.15,4.6,0.0,1.15,4.8,0.0,0.95,4.8,0.0
0.95,4.8,0.0,1.15,4.8,0.0,1.15,5.0,0.0,0.95,5.0,0.0
0.95,5.0,0.0,1.15,5.0,0.0,1.15,5.2,0.0,0.95,5.2,0.0
0.95,5.2,0.0,1.15,5.2,0.0,1.15,5.4,0.0,0.95,5.4,0.0
0.95,5.4,0.0,1.15,5.4,0.0,1.15,5.6,0.0,0.95,5.6,0.0
0.95,5.6,0.0,1.15,5.6,0.0,1.15,5.8,0.0,0.95,5.8,0.0
0.95,5.8,0.0,1.15,5.8,0.0,1.15,6.0,0.0,0.95,6.0,0.0
1.15,0.0,0.0,1.35,0.0,0.0,1.35,0.2,0.0,1.15,0.2,0.0
1.15,0.2,0.0,1.35,0.2,0.0,1.35,0.4,0.0,1.15,0.4,0.0
1.15,0.4,0.0,1.35,0.4,0.0,1.35,0.6,0.0,1.15,0.6,0.0
1.15,0.6,0.0,1.35,0.6,0.0,1.35,0.8,0.0,1.15,0.8,0.0
1.15,0.8,0.0,1.35,0.8,0.0,1.35,1.0,0.0,1.15,1.0,0.0
1.15,1.0,0.0,1.35,1.0,0.0,1.35,1.2,0.0,1.15,1.2,0.0
1.15,1.2,0.0,1.35,1.2,0.0,1.35,1.4,0.0,1.15,1.4,0.0
1.15,1.4,0.0,1.35,1.4,0.0,1.35,1.6,0.0,1.15,1.6,0.0
1.15,1.6,0.0,1.35,1.6,0.0,1.35,1.8,0.0,1.15,1.8,0.0
1.15,1.8,0.0,1.35,1.8,0.0,1.35,2.0,0.0,1.15,2.0,0.0
1.15,2.0,0.0,1.35,2.0,0.0,1.35,2.2,0.0,1.15,2.2,0.0
1.15,2.2,0.0,1.35,2.2,0.0,1.35,2.4,0.0,1.15,2.4,0.0
1.15,2.4,0.0,1.35,2.4,0.0,1.35,2.6,0.0,1.15,2.6,0.0
1.15,2.6,0.0,1.35,2.6,0.0,1.35,2.8,0.0,1.15,2.8,0.0
1.15,2.8,0.0,1.35,2.8,0.0,1.35,3.0,0.0,1.15,3.0,0.0
1.15,3.0,0.0,1.35,3.0,0.0,1.35,3.2,0.0,1.15,3.2,0.0
1.15,3.2,0.0,1.35,3.2,0.0,1.35,3.4,0.0,1.15,3.4,0.0
1.15,3.4,0.0,1.35,3.4,0.0,1.35,3.6,0.0,1.15,3.6,0.0
1.15,3.6,0.0,1.35,3.6,0.0,1.35,3.8,0.0,1.15,3.8,0.0
1.15,3.8,0.0,1.35,3.8,0.0,1.35,4.0,0.0,1.15,4.0,0.0
1.15,4.0,0.0,1.35,4.0,0.0,1.35,4.2,0.0,1.15,4.2,0.0
1.15,4.2,0.0,1.35,4.2,0.0,1.35,4.4,0.0,1.15,4.4,0.0
1.15,4.4,0.0,1.35,4.4,0.0,1.35,4.6,0.0,1.15,4.6,0.0
1.15,4.6,0.0,1.35,4.6,0.0,1.35,4.8,0.0,1.15,4.8,0.0
1.15,4.8,0.0,1.35,4.8,0.0,1.35,5.0,0.0,1.15,5.0,0.0
1.15,5.0,0.0,1.35,5.0,0.0,1.35,5.2,0.0,1.15,5.2,0.0
1.15,5.2,0.0,1.35,5.2,0.0,1.35,5.4,0.0,1.15,5.4,0.0
1.15,5.4,0.0,1.35,5.4,0.0,1.35,5.6,0.0,1.15,5.6,0.0
1.15,5.6,0.0,1.35,5.6,0.0,1.35,5.8,0.0,1.15,5.8,0.0
1.15,5.8,0.0,1.35,5.8,0.0,1.35,6.0,0.0,1.15,6.0,0.0
1.35,0.0,0.0,1.55,0.0,0.0,1.55,0.2,0.0,1.35,0.2,0.0
1.35,0.2,0.0,1.55,0.2,0.0,1.55,0.4,0.0,1.35,0.4,0.0
1.35,0.4,0.0,1.55,0.4,0.0,1.55,0.6,0.0,1.35,0.6,0.0
1.35,0.6,0.0,1.55,0.6,0.0,1.55,0.8,0.0,1.35,0.8,0.0
1.35,0.8,0.0,1.55,0.8,0.0,1.55,1.0,0.0,1.35,1.0,0.0
1.35,1.0,0.0,1.55,1.0,0.0,1.55,1.2,0.0,1.35,1.2,0.0
1.35,1.2,0.0,1.55,1.2,0.0,1.55,1.4,0.0,1.35,1.4,0.0
1.35,1.4,0.0,1.55,1.4,0.0,1.55,1.6,0.0,1.35,1.6,0.0
1.35,1.6,0.0,1.55,1.6,0.0,1.55,1.8,0.0,1.35,1.8,0.0
1.35,1.8,0.0,1.55,1.8,0.0,1.55,2.0,0.0,1.35,2.0,0.0
1.35,2.0,0.0,1.55,2.0,0.0,1.55,2.2,0.0,1.35,2.2,0.0
1.35,2.2,0.0,1.55,2.2,0.0,1.55,2.4,0.0,1.35,2.4,0.0
1.35,2.4,0.0,1.55,2.4,0.0,1.55,2.6,0.0,1.35,2.6,0.0
1.35,2.6,0.0,1.55,2.6,0.0,1.55,2.8,0.0,1.35,2.8,0.0
1.35,2.8,0.0,1.55,2.8,0.0,1.55,3.0,0.0,1.35,3.0,0.0
1.35,3.0,0.0,1.55,3.0,0.0,1.55,3.2,0.0,1.35,3.2,0.0
1.35,3.2,0.0,1.55,3.2,0.0,1.55,3.4,0.0,1.35,3.4,0.0
1.35,3.4,0.0,1.55,3.4,0.0,1.55,3.6,0.0,1.35,3.6,0.0
1.35,3.6,0.0,1.55,3.6,0.0,1.55,3.8,0.0,1.35,3.8,0.0
1.35,3.8,0.0,1.55,3.8,0.0,1.55,4.0,0.0,1.35,4.0,0.0
1.35,4.0,0.0,1.55,4.0,0.0,1.55,4.2,0.0,1.35,4.2,0.0
1.35,4.2,0.0,1.55,4.2,0.0,1.55,4.4,0.0,1.35,4.4,0.0
1.35,4.4,0.0,1.55,4.4,0.0,1.55,4.6,0.0,1.35,4.6,0.0
